x_m,y_m,w_tr_right_m,w_tr_left_m
25.600092591,2.298687755,0.457200000,0.457200000
25.625074811,2.298687755,0.457200000,0.457200000
25.650057030,2.298687755,0.457200000,0.457200000
25.675039250,2.298687755,0.457200000,0.457200000
25.700021469,2.298687755,0.457200000,0.457200000
25.725003689,2.298687755,0.457200000,0.457200000
25.749985908,2.298687755,0.457200000,0.457200000
25.774968128,2.298687755,0.457200000,0.457200000
25.799950347,2.298687755,0.457200000,0.457200000
25.824932567,2.298687755,0.457200000,0.457200000
25.849914786,2.298687755,0.457200000,0.457200000
25.874897006,2.298687755,0.457200000,0.457200000
25.899879225,2.298687755,0.457200000,0.457200000
25.924861445,2.298687755,0.457200000,0.457200000
25.949843664,2.298687755,0.457200000,0.457200000
25.974825884,2.298687755,0.457200000,0.457200000
25.999808103,2.298687755,0.457200000,0.457200000
26.024790323,2.298687755,0.457200000,0.457200000
26.049772542,2.298687755,0.457200000,0.457200000
26.074754762,2.298687755,0.457200000,0.457200000
26.099736981,2.298687755,0.457200000,0.457200000
26.124719201,2.298687755,0.457200000,0.457200000
26.149701420,2.298687755,0.457200000,0.457200000
26.174683640,2.298687755,0.457200000,0.457200000
26.199665859,2.298687755,0.457200000,0.457200000
26.224648079,2.298687755,0.457200000,0.457200000
26.249630299,2.298687755,0.457200000,0.457200000
26.274612518,2.298687755,0.457200000,0.457200000
26.299594738,2.298687755,0.457200000,0.457200000
26.324576957,2.298687755,0.457200000,0.457200000
26.349559177,2.298687755,0.457200000,0.457200000
26.374541396,2.298687755,0.457200000,0.457200000
26.399523616,2.298687755,0.457200000,0.457200000
26.424505835,2.298687755,0.457200000,0.457200000
26.449488055,2.298687755,0.457200000,0.457200000
26.474470274,2.298687755,0.457200000,0.457200000
26.499452494,2.298687755,0.457200000,0.457200000
26.524434713,2.298687755,0.457200000,0.457200000
26.549416933,2.298687755,0.457200000,0.457200000
26.574399152,2.298687755,0.457200000,0.457200000
